Ethiopia Sidamo
Run #12,T_ambient = 73


temp_actual_sec, temp_actual_val, temp_smooth_sec, temp_smooth_val, 
0.0, 68, 0.0, 68.0, 
0.0, 68, 0.107, 68.0, 
0.0, 68, 0.202, 68.1, 
0.0, 68, 0.3, 67.9, 
0.0, 68, 0.4, 67.9, 
0.0, 68, 0.5, 67.8, 
0.0, 68, 0.6, 67.8, 
0.0, 68, 0.7, 67.7, 
0.0, 68, 0.8, 67.6, 
0.0, 68, 0.9, 67.5, 
0.0, 68, 1.0, 67.5, 
0.0, 68, 1.1, 67.3, 
0.0, 68, 1.2, 67.2, 
0.0, 68, 1.3, 67.1, 
0.0, 68, 1.4, 67.0, 
0.0, 69.3, 1.5, 66.7, 
0.107, 67.5, 1.6, 66.7, 
0.202, 69.3, 1.7, 66.4, 
0.3, 65.7, 1.8, 66.5, 
0.4, 67.1, 1.9, 66.5, 
0.5, 66.2, 2.0, 66.6, 
0.6, 68.4, 2.1, 66.4, 
0.7, 67.1, 2.2, 66.4, 
0.8, 65.7, 2.3, 66.5, 
0.9, 66.2, 2.4, 66.7, 
1.0, 68.0, 2.5, 66.7, 
1.1, 65.3, 2.6, 67.0, 
1.2, 67.5, 2.7, 67.0, 
1.3, 65.7, 2.8, 67.3, 
1.4, 66.6, 2.9, 67.5, 
1.5, 64.4, 3.0, 67.8, 
1.6, 67.5, 3.1, 67.8, 
1.7, 65.7, 3.2, 68.2, 
1.8, 67.5, 3.3, 68.5, 
1.9, 67.1, 3.4, 68.9, 
2.0, 66.6, 3.5, 69.3, 
2.1, 65.7, 3.6, 69.6, 
2.2, 67.1, 3.7, 70.2, 
2.3, 68.0, 3.8, 70.6, 
2.4, 68.4, 3.9, 71.0, 
2.5, 68.0, 4.0, 71.5, 
2.6, 69.3, 4.1, 72.0, 
2.7, 68.4, 4.2, 72.6, 
2.8, 69.3, 4.3, 73.2, 
2.9, 70.7, 4.4, 73.6, 
3.0, 68.4, 4.5, 74.5, 
3.1, 68.0, 4.6, 75.3, 
3.2, 70.7, 4.7, 76.0, 
3.3, 72.5, 4.8, 76.4, 
3.4, 72.5, 4.9, 76.9, 
3.5, 72.5, 5.0, 77.6, 
3.6, 71.6, 5.108, 78.3, 
3.7, 75.2, 5.2, 78.7, 
3.8, 73.8, 5.3, 79.3, 
3.9, 74.7, 5.4, 79.9, 
4.0, 75.6, 5.5, 80.6, 
4.1, 77.4, 5.6, 80.9, 
4.2, 77.0, 5.7, 81.6, 
4.3, 77.4, 5.8, 82.3, 
4.4, 77.9, 5.9, 83.0, 
4.5, 81.5, 6.0, 83.6, 
4.6, 80.6, 6.1, 84.2, 
4.7, 80.1, 6.2, 84.9, 
4.8, 78.8, 6.3, 85.7, 
4.9, 80.6, 6.4, 86.3, 
5.0, 81.9, 6.5, 87.0, 
5.108, 83.3, 6.6, 87.7, 
5.2, 81.0, 6.7, 88.4, 
5.3, 82.8, 6.8, 89.3, 
5.4, 83.7, 6.9, 90.2, 
5.5, 85.1, 7.0, 91.2, 
5.6, 82.8, 7.1, 92.4, 
