Decaf Colombia
Run #01
elapsed, t_avg(10)
00:00.0, 73.0
00:01.0, 73.0
00:01.9, 73.4
00:02.9, 73.2
00:03.8, 73.0
00:04.8, 73.0
00:05.7, 73.1
00:06.7, 73.7
00:07.6, 74.7
00:08.6, 76.0
00:09.5, 78.3
00:10.5, 81.4
00:11.4, 85.1
00:12.4, 89.8
00:13.4, 94.6
00:14.3, 100.1
00:15.3, 106.3
00:16.2, 112.1
00:17.2, 118.4
00:18.1, 124.2
00:19.1, 129.7
00:20.0, 135.1
00:21.0, 140.5
00:21.9, 145.4
00:22.9, 150.1
00:23.8, 154.9
00:24.8, 159.3
00:25.7, 163.8
00:26.7, 167.6
00:27.6, 172.3
00:28.6, 176.4
00:29.5, 180.5
00:30.5, 183.9
00:31.4, 187.5
00:32.4, 190.8
00:33.3, 194.2
00:34.3, 196.9
00:35.3, 200.0
00:36.2, 202.7
00:37.2, 205.1
00:38.1, 207.8
00:39.1, 209.8
00:40.0, 212.2
00:41.0, 214.5
00:41.9, 217.5
00:42.9, 219.6
00:43.8, 222.2
00:44.8, 224.7
00:45.7, 227.3
00:46.7, 229.7
00:47.6, 231.9
00:48.6, 234.0
00:49.5, 236.2
00:50.5, 238.2
00:51.4, 239.8
00:52.4, 241.7
00:53.3, 243.6
00:54.3, 245.1
00:55.2, 246.8
00:56.2, 248.5
00:57.1, 250.4
00:58.1, 252.6
00:59.0, 254.2
00:60.0, 256.1
01:00.9, 258.2
01:01.9, 260.1
01:02.8, 261.8
01:03.8, 264.1
01:04.7, 265.9
01:05.7, 267.5
01:06.6, 269.2
01:07.6, 270.7
01:08.5, 272.3
01:09.5, 273.9
01:10.4, 274.8
01:11.4, 276.3
01:12.3, 277.7
01:13.3, 279.0
01:14.2, 280.8
01:15.2, 282.4
01:16.1, 283.9
01:17.1, 285.7
01:18.0, 287.4
01:19.0, 288.7
01:19.9, 290.7
01:20.9, 292.0
01:21.8, 293.7
01:22.8, 295.1
01:23.7, 295.9
01:24.7, 297.2
01:25.6, 298.5
01:26.6, 299.4
01:27.5, 300.3
01:28.5, 301.7
01:29.4, 302.6
01:30.4, 303.8
01:31.3, 304.7
01:32.3, 305.5
01:33.2, 306.7
01:34.2, 308.0
01:35.1, 308.9
01:36.1, 310.0
01:37.0, 311.0
01:38.0, 312.1
01:38.9, 313.0
01:39.9, 313.9
01:40.8, 314.9
01:41.8, 316.0
01:42.7, 317.2
01:43.7, 317.9
01:44.6, 318.8
01:45.6, 319.5
01:46.5, 320.7
01:47.5, 321.2
01:48.5, 322.3
01:49.4, 323.4
01:50.4, 324.4
01:51.3, 325.4
01:52.3, 326.3
01:53.2, 327.2
01:54.2, 328.2
01:55.1, 329.1
01:56.1, 329.9
01:57.0, 330.9
01:58.0, 331.6
01:58.9, 332.3
01:59.9, 333.3
02:00.8, 334.4
02:01.8, 335.2
02:02.7, 335.8
02:03.7, 336.4
02:04.6, 337.4
02:05.6, 338.2
02:06.5, 339.1
02:07.5, 340.2
02:08.5, 341.4
02:09.4, 342.4
02:10.4, 343.0
02:11.3, 343.9
02:12.3, 345.1
02:13.2, 346.2
02:14.2, 347.3
02:15.1, 348.5
02:16.1, 349.4
02:17.0, 350.3
02:18.0, 351.1
02:18.9, 351.6
02:19.9, 352.3
02:20.9, 352.9
02:21.8, 353.5
02:22.8, 354.2
02:23.7, 354.9
02:24.7, 355.4
02:25.6, 356.1
02:26.6, 356.8
02:27.5, 357.4
02:28.5, 358.1
02:29.4, 359.0
02:30.4, 359.9
02:31.3, 360.5
02:32.3, 361.1
02:33.2, 361.6
02:34.2, 362.1
02:35.1, 362.4
02:36.1, 362.8
02:37.0, 363.1
02:38.0, 363.5
02:38.9, 363.7
02:39.9, 364.1
02:40.8, 364.5
02:41.8, 364.9
02:42.7, 365.4
02:43.7, 366.1
02:44.6, 366.7
02:45.6, 367.4
02:46.5, 368.1
02:47.5, 368.5
02:48.5, 369.2
02:49.4, 369.6
02:50.4, 370.4
02:51.3, 371.2
02:52.3, 371.9
02:53.2, 372.3
02:54.2, 372.9
02:55.1, 373.4
02:56.1, 374.2
02:57.0, 374.9
02:58.0, 375.4
02:58.9, 376.0
02:59.9, 376.3
03:00.8, 377.1
03:01.8, 377.4
03:02.7, 378.1
03:03.7, 378.8
03:04.6, 379.5
03:05.6, 379.8
03:06.5, 380.3
03:07.5, 381.0
03:08.5, 381.4
03:09.4, 382.2
03:10.4, 382.7
03:11.3, 383.5
03:12.3, 384.0
03:13.2, 384.3
03:14.2, 384.6
03:15.1, 385.2
03:16.1, 385.8
03:17.0, 386.2
03:18.0, 386.8
03:18.9, 387.0
03:19.9, 387.5
03:20.9, 387.8
03:21.8, 387.9
03:22.8, 388.4
03:23.7, 388.7
03:24.7, 389.1
03:25.6, 389.3
03:26.6, 389.8
03:27.5, 390.2
03:28.5, 390.6
03:29.4, 390.8
03:30.4, 391.2
03:31.3, 391.6
03:32.3, 391.7
03:33.2, 392.3
03:34.2, 392.4
03:35.1, 392.9
03:36.1, 393.1
03:37.0, 393.6
03:38.0, 394.1
03:38.9, 394.4
03:39.9, 394.9
03:40.8, 395.4
03:41.8, 396.1
03:42.7, 396.6
03:43.7, 397.7
03:44.6, 398.8
03:45.6, 399.8
