Ethiopia Sidamo
Run #12
elapsed, t_avg(10)
00:00.0, 68.0
00:01.0, 69.6
00:01.9, 71.1
00:02.9, 73.2
00:03.8, 75.6
00:04.8, 78.3
00:05.7, 81.1
00:06.7, 83.4
00:07.6, 86.7
00:08.6, 89.8
00:09.6, 95.0
00:10.6, 100.7
00:11.5, 106.1
00:12.5, 111.7
00:13.4, 117.0
00:14.4, 122.1
00:15.3, 127.5
00:16.3, 132.8
00:17.2, 136.9
00:18.2, 141.3
00:19.1, 146.0
00:20.1, 150.3
00:21.0, 154.6
00:22.0, 158.8
00:22.9, 163.0
00:23.9, 167.0
00:24.8, 170.4
00:25.8, 173.9
00:26.7, 177.8
00:27.7, 181.1
00:28.6, 184.3
00:29.6, 187.2
00:30.6, 190.8
00:31.5, 194.0
00:32.5, 197.4
00:33.4, 200.7
00:34.4, 203.9
00:35.3, 207.5
00:36.3, 209.9
00:37.2, 212.9
00:38.2, 216.2
00:39.1, 219.2
00:40.1, 222.0
00:41.0, 225.0
00:42.0, 228.2
00:42.9, 230.7
00:43.9, 233.6
00:44.8, 235.8
00:45.8, 239.2
00:46.7, 242.2
00:47.7, 244.4
00:48.6, 246.7
00:49.6, 249.0
00:50.6, 251.2
00:51.5, 252.8
00:52.5, 254.8
00:53.4, 256.8
00:54.4, 259.1
00:55.3, 261.2
00:56.3, 263.3
00:57.2, 265.8
00:58.2, 268.1
00:59.1, 270.1
01:00.1, 272.1
01:01.0, 274.1
01:02.0, 276.2
01:02.9, 277.7
01:03.9, 279.3
01:04.8, 280.7
01:05.8, 282.2
01:06.7, 283.7
01:07.7, 285.1
01:08.6, 286.9
01:09.6, 288.5
01:10.6, 290.1
01:11.5, 291.7
01:12.5, 293.6
01:13.4, 295.1
01:14.4, 296.6
01:15.3, 297.9
01:16.3, 299.5
01:17.2, 301.4
01:18.2, 303.0
01:19.1, 304.5
01:20.1, 305.9
01:21.0, 307.4
01:22.0, 309.0
01:22.9, 310.4
01:23.9, 311.9
01:24.8, 313.2
01:25.8, 314.6
01:26.7, 315.3
01:27.7, 316.5
01:28.6, 317.6
01:29.6, 318.7
01:30.5, 320.3
01:31.5, 321.3
01:32.4, 322.5
01:33.4, 323.9
01:34.3, 325.3
01:35.3, 326.3
01:36.2, 327.7
01:37.2, 328.8
01:38.1, 329.7
01:39.1, 331.0
01:40.1, 332.1
01:41.0, 333.0
01:42.0, 333.9
01:42.9, 334.4
01:43.9, 334.7
01:44.8, 335.0
01:45.8, 335.8
01:46.7, 336.7
01:47.7, 338.0
01:48.6, 338.8
01:49.6, 338.8
01:50.6, 340.0
01:51.5, 340.8
01:52.5, 341.8
01:53.4, 342.7
01:54.4, 343.9
01:55.3, 344.8
01:56.3, 345.3
01:57.2, 345.6
01:58.2, 345.9
01:59.1, 347.2
02:00.1, 347.7
02:01.0, 348.4
02:02.0, 348.8
02:02.9, 349.8
02:03.9, 350.9
02:04.8, 352.0
02:05.8, 352.7
02:06.7, 353.2
02:07.7, 354.4
02:08.6, 354.8
02:09.6, 355.6
02:10.6, 356.5
02:11.5, 357.4
02:12.5, 358.0
02:13.4, 358.3
02:14.4, 357.9
02:15.3, 358.3
02:16.3, 358.8
02:17.2, 359.1
02:18.2, 359.8
02:19.1, 360.2
02:20.1, 360.8
02:21.0, 361.7
02:22.0, 362.5
02:22.9, 363.6
02:23.9, 365.1
02:24.8, 366.3
02:25.8, 367.4
02:26.7, 368.6
02:27.7, 369.5
02:28.6, 370.3
02:29.6, 371.4
02:30.6, 372.0
02:31.5, 373.3
02:32.5, 373.9
02:33.4, 374.4
02:34.4, 375.2
02:35.3, 376.2
02:36.3, 376.9
02:37.2, 377.4
02:38.2, 378.1
02:39.1, 378.7
02:40.1, 379.1
02:41.0, 379.1
02:42.0, 379.5
02:42.9, 379.8
02:43.9, 380.1
02:44.8, 380.2
02:45.8, 380.9
02:46.7, 381.7
02:47.7, 382.1
02:48.6, 382.5
02:49.6, 383.4
02:50.6, 383.9
02:51.6, 384.4
02:52.5, 385.4
02:53.5, 386.1
02:54.4, 387.2
02:55.4, 388.2
02:56.3, 389.0
02:57.3, 389.9
02:58.2, 390.5
02:59.2, 390.7
03:00.1, 391.8
