Ethiopia Sidamo,,,,,,
Run #18,T_amb=71.7,,,,,
elapsed, t_avg(15), t_bean,,,,
00:00,67.8,65.8,Err:502,,00:30,189.5
00:02,66.2,68,Err:502,,01:00,257.1
00:04,70.1,71.6,Err:502,,01:30,298.5
00:06,79.9,83.3,Err:502,,02:00,327.8
00:08,91.5,97.7,Err:502,,02:30,348.6
00:10,104.2,109.4,Err:502,,03:00,368.7
00:12,116.8,122.9,Err:502,,03:30,385.2
00:14,128.8,136.4,Err:502,,04:00,397.3
00:16,137.6,137.8,Err:502,,04:30,412.6
00:18,143.2,148.1,Err:502,,05:00,425.5
00:20,154.7,159.3,Err:502,,05:30,436.3
00:22,160.8,162.1,Err:502,,06:00,445
00:24,165.9,169.7,Err:502,,06:30,455.6
00:26,174.4,180.9,Err:502,,07:00,465.2
00:28,182.7,183.7,Err:502,,07:10,467.1
00:30,189.5,192.7,Err:502,,,
00:32,192.4,195.8,Err:502,,,
00:34,200.4,202.6,Err:502,,,
00:36,205.1,207.5,Err:502,,,
00:38,211.2,213.8,Err:502,,,
00:40,215.6,218.8,Err:502,,,
00:42,222.1,224.2,Err:502,,,
00:44,224,228.2,Err:502,,,
00:46,230.3,232.2,Err:502,,,
00:48,234.9,237.2,Err:502,,,
00:50,238.3,240.8,Err:502,,,
00:52,242.1,243.1,Err:502,,,
00:54,245.8,248.4,Err:502,,,
00:56,248.1,251.6,Err:502,,,
00:58,254.2,255.7,Err:502,,,
01:00,257.1,257,Err:502,,,
01:02,259.6,261.9,Err:502,,,
01:04,262.9,264.6,Err:502,,,
01:06,265.9,267.8,Err:502,,,
01:08,266.5,267.4,Err:502,,,
01:10,271.9,273.6,Err:502,,,
01:12,273.8,276.8,Err:502,,,
01:14,277.8,279.1,Err:502,,,
01:16,280.9,282.2,Err:502,,,
01:18,280.9,283.6,Err:502,,,
01:20,285.8,286.7,Err:502,,,
01:22,287.8,288.1,Err:502,,,
01:24,290.9,293,Err:502,,,
01:26,293.6,294.8,Err:502,,,
01:28,295.2,295.7,Err:502,,,
01:30,298.5,299.3,Err:502,,,
01:32,300.2,300.2,Err:502,,,
01:34,301.2,304.2,Err:502,,,
01:36,305,306.9,Err:502,,,
01:38,305.2,280.4,Err:502,,,
01:40,308.8,310.1,Err:502,,,
01:42,310.7,311,Err:502,,,
01:44,311.6,314.6,Err:502,,,
01:46,314.2,315.1,Err:502,,,
01:48,317.1,318.2,Err:502,,,
01:50,317.7,319.1,Err:502,,,
01:52,320.5,320.9,Err:502,,,
01:54,322.5,324.1,Err:502,,,
01:56,324.8,325.9,Err:502,,,
01:58,324.1,325.9,Err:502,,,
02:00,327.8,329,Err:502,,,
02:02,329.1,329.9,Err:502,,,
02:04,331.3,332.1,Err:502,,,
02:06,332.9,333.5,Err:502,,,
02:08,334.1,334.4,Err:502,,,
02:10,334.4,336.2,Err:502,,,
02:12,337.2,337.6,Err:502,,,
02:14,338.4,340.2,Err:502,,,
02:16,339,336.6,Err:502,,,
02:18,340.8,342.1,Err:502,,,
02:20,343.2,343.9,Err:502,,,
02:22,344.2,343.9,Err:502,,,
02:24,345,345.6,Err:502,,,
02:26,345,348.4,Err:502,,,
02:28,348.6,349.2,Err:502,,,
02:30,348.6,326.3,Err:502,,,
02:32,350.8,351.5,Err:502,,,
02:34,353.6,353.8,Err:502,,,
02:36,353.5,349.2,Err:502,,,
02:38,356.1,356.9,Err:502,,,
02:40,357.2,358.2,Err:502,,,
02:42,356.4,358.2,Err:502,,,
02:44,359.3,360.1,Err:502,,,
02:46,360.9,361.4,Err:502,,,
02:48,360.4,362.3,Err:502,,,
02:50,363.5,365,Err:502,,,
02:52,364,363.6,Err:502,,,
02:54,365,365.4,Err:502,,,
02:56,364.9,367.2,Err:502,,,
02:58,367.9,369.1,Err:502,,,
03:00,368.7,369.5,Err:502,,,
03:02,370.7,372.2,Err:502,,,
03:04,370.5,369.9,Err:502,,,
03:06,372.1,373.1,Err:502,,,
03:08,373,374,Err:502,,,
03:10,373.2,375.8,Err:502,,,
03:12,375.8,375.4,Err:502,,,
03:14,376,377.1,Err:502,,,
03:16,375.8,378.1,Err:502,,,
03:18,379,380.3,Err:502,,,
03:20,380.1,380.8,Err:502,,,
03:22,381.1,382.1,Err:502,,,
03:24,382.1,383,Err:502,,,
03:26,380.8,382.6,Err:502,,,
03:28,383.3,384.4,Err:502,,,
03:30,385.2,386.6,Err:502,,,
03:32,383.9,383,Err:502,,,
03:34,387.6,388.9,Err:502,,,
03:36,387.9,387.9,Err:502,,,
03:38,386.7,388.9,Err:502,,,
03:40,389.9,391.6,Err:502,,,
03:42,389.8,391.6,Err:502,,,
03:44,392.3,392.4,Err:502,,,
03:46,393,392.9,Err:502,,,
03:48,393.1,395.6,Err:502,,,
03:50,394.9,394.2,Err:502,,,
