Ethiopia Sidamo
Run #21,T_amb=75.4
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 75.7
00:02.1, 76.6, 79.2
00:04.1, 84.1, 87.8
00:06.1, 90.0, 92.8
00:08.1, 100.8, 104.5
00:10.1, 105.2, 105.8
00:12.1, 110.1, 114.3
00:14.1, 119.2, 121.1
00:16.1, 126.1, 129.2
00:18.1, 135.2, 139.6
00:20.1, 144.9, 143.2
00:22.1, 150.3, 153.1
00:24.1, 157.2, 161.2
00:26.1, 164.1, 167.4
00:28.1, 173.7, 177.3
00:30.1, 182.2, 187.7
00:32.1, 190.0, 190.8
00:34.1, 195.6, 198.9
00:36.1, 203.6, 209.3
00:38.1, 212.4, 219.7
00:40.1, 220.4, 220.6
00:42.1, 222.6, 223.2
00:44.1, 229.2, 230.0
00:46.1, 233.8, 233.2
00:48.1, 236.2, 238.6
00:50.1, 242.2, 244.4
00:52.1, 245.4, 246.7
00:54.1, 250.9, 251.2
00:56.1, 253.7, 254.8
00:58.1, 258.2, 261.1
01:00.1, 261.7, 262.4
01:02.1, 266.5, 268.2
01:04.1, 269.7, 270.5
01:06.1, 273.1, 274.1
01:08.1, 275.8, 277.7
01:10.1, 279.3, 280.9
01:12.1, 280.9, 282.2
01:14.1, 285.0, 288.1
01:16.1, 288.5, 290.3
01:18.1, 292.3, 292.6
01:20.1, 294.6, 296.6
01:22.1, 296.3, 297.5
01:24.1, 301.5, 301.6
01:26.1, 301.9, 300.6
01:28.1, 299.6, 298.9
01:30.1, 298.6, 298.4
01:32.1, 295.3, 293.0
01:34.1, 296.9, 298.9
01:36.1, 300.1, 301.6
01:38.1, 302.9, 304.2
01:40.1, 306.7, 306.9
01:42.1, 311.0, 312.4
01:44.1, 314.6, 315.9
01:46.1, 317.4, 318.2
01:48.1, 322.6, 323.6
01:50.1, 327.6, 327.2
01:52.1, 328.4, 332.6
01:54.1, 333.6, 333.9
01:56.1, 333.7, 332.6
01:58.1, 334.9, 333.9
02:00.1, 337.4, 336.6
02:02.1, 338.5, 338.9
02:04.1, 341.0, 340.7
02:06.1, 343.5, 342.1
02:08.1, 346.0, 346.1
02:10.1, 347.2, 347.9
02:12.1, 350.7, 351.5
02:14.1, 352.4, 350.1
02:16.1, 353.4, 354.2
02:18.1, 354.6, 353.8
02:20.1, 355.1, 356.4
02:22.1, 359.2, 360.9
02:24.1, 360.9, 360.9
02:26.1, 363.4, 364.6
02:28.1, 363.7, 363.6
02:30.1, 367.0, 367.2
02:32.1, 367.8, 369.5
02:34.1, 371.1, 378.9
