SUMATRA COMPLETION 
Run #10,T_amb=79.7
elapsed, t_avg(15), t_bean
00:00.1, 93.3, 447.8
00:02.1, 365.7, 450.1
00:04.1, 423.7, 454.1
00:06.1, 395.9, 451.9
00:08.1, 452.0, 452.8
00:10.1, 451.6, 448.2
00:12.1, 451.5, 452.8
00:14.1, 453.1, 454.6
00:16.1, 453.5, 455.4
00:18.1, 455.2, 456.8
00:20.1, 457.8, 457.7
00:22.1, 458.0, 459.5
00:24.1, 460.1, 462.2
00:26.1, 459.1, 459.1
00:28.1, 459.1, 457.7
00:30.1, 456.0, 455.9
00:32.1, 459.5, 459.5
00:34.1, 461.3, 460.9
00:36.1, 460.4, 455.4
00:38.1, 455.9, 456.4
00:40.1, 457.3, 459.9
00:42.1, 459.6, 461.3
00:44.1, 460.3, 463.1
00:46.1, 464.0, 467.1
00:48.1, 463.4, 463.6
00:50.1, 465.2, 468.5
00:52.1, 466.0, 467.6
00:54.1, 465.3, 465.8
00:56.1, 465.9, 466.2
00:58.1, 466.5, 465.8
01:00.1, 466.9, 465.8
01:02.1, 466.9, 465.8
01:04.1, 466.2, 467.6
01:06.1, 468.6, 466.2
01:08.1, 457.5, 442.9
01:10.1, 426.6, 412.2
01:12.1, 396.7, 388.4
01:14.1, 373.0, 366.8
01:16.1, 354.1, 349.7
