SUMATRA COMPLETION
Run #11,T_amb=79.2
elapsed, t_avg(15), t_bean
00:00.1, 92.0, 428.4
00:02.1, 427.2, 424.4
00:04.1, 425.9, 426.6
00:06.1, 429.0, 427.1
00:08.1, 427.4, 426.2
00:10.1, 429.2, 427.1
00:12.1, 429.8, 433.4
00:14.1, 430.5, 429.8
00:16.1, 432.7, 435.2
00:18.1, 434.3, 437.4
00:20.1, 436.2, 433.9
00:22.1, 435.0, 435.2
00:24.1, 434.4, 436.1
00:26.1, 435.0, 433.9
00:28.1, 433.6, 431.6
00:30.1, 435.6, 437.0
00:32.1, 434.5, 434.8
00:34.1, 434.5, 437.0
00:36.1, 436.1, 434.3
00:38.1, 437.8, 435.2
00:40.1, 436.2, 437.0
00:42.1, 436.7, 439.7
00:44.1, 434.0, 435.2
00:46.1, 435.6, 437.4
00:48.1, 440.4, 445.1
00:50.1, 441.0, 445.1
00:52.1, 443.0, 441.9
00:54.1, 444.6, 443.3
00:56.1, 443.6, 441.5
00:58.1, 441.8, 442.4
01:00.1, 443.1, 445.1
01:02.1, 444.4, 446.4
01:04.1, 444.9, 448.2
01:06.1, 446.3, 444.2
01:08.1, 446.5, 445.6
01:10.1, 447.1, 450.5
01:12.1, 450.2, 453.2
01:14.1, 436.3, 450.5
01:16.1, 450.3, 449.1
01:18.1, 450.2, 451.4
01:20.1, 451.0, 452.8
01:22.1, 449.8, 447.8
01:24.1, 450.3, 451.9
01:26.1, 452.1, 453.2
01:28.1, 452.7, 450.5
01:30.1, 453.2, 456.4
01:32.1, 453.6, 453.6
01:34.1, 451.9, 451.4
01:36.1, 455.4, 459.5
01:38.1, 455.4, 453.6
01:40.1, 454.3, 455.0
01:42.1, 455.7, 456.4
01:44.1, 456.4, 455.9
01:46.1, 456.6, 458.1
01:48.1, 457.9, 461.3
01:50.1, 460.7, 460.9
01:52.1, 460.1, 463.1
01:54.1, 459.6, 458.6
01:56.1, 462.9, 459.1
01:58.1, 461.1, 462.2
02:00.1, 460.4, 462.2
02:02.1, 461.8, 460.4
02:04.1, 462.1, 464.0
02:06.1, 462.1, 464.9
02:08.1, 463.6, 462.6
02:10.1, 462.2, 461.8
02:12.1, 462.0, 461.8
02:14.1, 463.2, 463.1
02:16.1, 462.5, 463.1
02:18.1, 464.7, 464.9
02:20.1, 465.4, 463.6
02:22.1, 463.8, 464.0
02:24.1, 465.2, 466.2
02:26.1, 466.1, 465.8
02:28.1, 464.6, 461.3
02:30.1, 464.8, 467.1
02:32.1, 466.2, 464.0
02:34.1, 463.5, 463.1
02:36.1, 465.0, 464.4
02:38.1, 466.3, 465.4
02:40.1, 465.9, 465.8
02:42.1, 464.5, 464.9
02:44.1, 466.5, 468.5
02:46.1, 466.6, 467.6
02:48.1, 465.9, 455.9
02:50.1, 431.7, 415.4
02:52.1, 399.6, 385.7
02:54.1, 376.1, 369.9
02:56.1, 355.2, 344.8
02:58.1, 338.6, 333.5
03:00.1, 327.1, 322.2
03:02.1, 317.0, 314.1
03:04.1, 315.4, 317.3
03:06.1, 308.9, 306.1
03:08.1, 302.4, 293.4
03:10.1, 290.5, 290.8
03:12.1, 286.3, 282.6
03:14.1, 279.5, 278.1
03:16.1, 271.9, 268.7
03:18.1, 269.4, 269.1
03:20.1, 263.9, 261.9
03:22.1, 259.5, 259.2
03:24.1, 254.4, 257.4
03:26.1, 251.5, 250.2
03:28.1, 247.2, 247.1
03:30.1, 243.0, 240.8
03:32.1, 238.8, 235.8
03:34.1, 238.6, 241.7
03:36.1, 229.8, 198.1
03:38.1, 183.2, 182.3
03:40.1, 175.8, 170.2
