Sumatra Buah Buahan
Run #18,T_amb=80.8
elapsed, t_avg(15), t_bean
00:00.1, 68.6, 77.0
00:02.1, 77.4, 79.7
00:04.1, 84.7, 89.2
00:06.1, 104.6, 108.5
00:08.1, 107.2, 106.7
00:10.1, 120.3, 125.2
00:12.1, 129.8, 130.1
00:14.1, 134.1, 134.6
00:16.1, 144.0, 144.9
00:18.1, 155.0, 165.2
00:20.1, 170.9, 178.7
00:22.1, 180.2, 179.2
00:24.1, 183.5, 185.0
00:26.1, 190.2, 195.3
00:28.1, 193.8, 196.7
00:30.1, 197.8, 204.8
00:32.1, 207.5, 213.3
00:34.1, 223.3, 226.4
00:36.1, 232.3, 228.2
00:38.1, 232.0, 233.6
00:40.1, 236.5, 237.7
00:42.1, 240.5, 242.2
00:44.1, 247.4, 248.0
00:46.1, 251.3, 252.5
00:48.1, 255.4, 255.7
00:50.1, 266.2, 265.1
00:52.1, 263.9, 263.8
00:54.1, 266.9, 268.7
00:56.1, 272.1, 272.8
00:58.1, 275.9, 278.1
01:00.1, 283.0, 292.6
01:02.1, 287.5, 286.2
01:04.1, 286.5, 289.4
01:06.1, 288.0, 292.1
01:08.1, 294.0, 297.1
01:10.1, 297.4, 297.1
01:12.1, 297.6, 297.1
01:14.1, 300.9, 302.0
01:16.1, 304.7, 305.6
01:18.1, 306.1, 306.1
01:20.1, 310.4, 312.4
01:22.1, 313.1, 312.8
01:24.1, 317.1, 318.2
01:26.1, 318.7, 324.9
01:28.1, 323.4, 327.6
01:30.1, 329.9, 332.1
01:32.1, 331.7, 331.7
01:34.1, 336.5, 336.6
01:36.1, 338.6, 340.7
01:38.1, 340.0, 337.6
01:40.1, 342.4, 343.4
01:42.1, 345.9, 348.8
01:44.1, 347.5, 345.2
01:46.1, 347.9, 348.4
01:48.1, 348.1, 353.8
01:50.1, 347.5, 349.2
01:52.1, 348.4, 349.2
01:54.1, 351.9, 353.3
01:56.1, 356.1, 356.0
01:58.1, 355.6, 356.4
02:00.1, 359.6, 356.4
02:02.1, 355.8, 351.9
02:04.1, 352.9, 352.4
02:06.1, 355.2, 351.1
02:08.1, 350.9, 353.3
02:10.1, 353.3, 351.1
02:12.1, 356.3, 355.1
02:14.1, 354.7, 353.3
02:16.1, 352.8, 352.9
02:18.1, 358.6, 357.8
02:20.1, 359.7, 358.7
02:22.1, 359.8, 359.1
02:24.1, 361.8, 362.3
02:26.1, 364.5, 366.8
02:28.1, 369.4, 369.9
02:30.1, 368.9, 367.7
02:32.1, 370.0, 372.2
02:34.1, 372.9, 374.9
02:36.1, 369.6, 365.9
02:38.1, 366.2, 369.5
02:40.1, 370.0, 370.9
02:42.1, 373.0, 369.9
02:44.1, 371.1, 370.9
02:46.1, 371.2, 366.4
02:48.1, 368.7, 366.8
02:50.1, 370.0, 371.3
02:52.1, 372.6, 374.9
02:54.1, 374.6, 371.3
02:56.1, 373.3, 373.6
02:58.1, 376.3, 378.1
03:00.1, 381.5, 382.6
