Sumatra Buah Buahn
Run #26,T_amb=75.1
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 68.0
00:02.1, 70.3, 72.0
00:04.1, 77.7, 80.6
00:06.1, 86.5, 90.0
00:08.1, 93.2, 99.0
00:10.1, 106.3, 110.8
00:12.1, 119.4, 122.5
00:14.1, 130.2, 136.4
00:16.1, 137.2, 141.8
00:18.1, 146.6, 155.3
00:20.1, 159.4, 161.2
00:22.1, 165.1, 171.9
00:24.1, 175.9, 177.3
00:26.1, 183.7, 186.8
00:28.1, 188.5, 189.5
00:30.1, 192.7, 197.2
00:32.1, 200.2, 199.4
00:34.1, 209.9, 220.6
00:36.1, 215.8, 216.5
00:38.1, 218.9, 221.9
00:40.1, 225.4, 225.9
00:42.1, 230.8, 232.7
00:44.1, 235.8, 240.8
00:46.1, 242.4, 245.3
00:48.1, 246.5, 250.7
00:50.1, 249.7, 249.8
00:52.1, 253.6, 252.1
00:54.1, 258.4, 262.9
00:56.1, 266.1, 270.1
00:58.1, 271.2, 270.1
01:00.1, 270.9, 274.1
01:02.1, 272.7, 275.4
01:04.1, 273.5, 271.4
01:06.1, 274.2, 274.6
01:08.1, 272.1, 271.9
01:10.1, 272.8, 274.6
01:12.1, 273.4, 272.3
01:14.1, 273.5, 275.4
01:16.1, 276.8, 279.9
01:18.1, 278.9, 278.1
01:20.1, 282.1, 286.2
01:22.1, 288.4, 289.4
01:24.1, 289.8, 291.6
01:26.1, 293.3, 296.6
01:28.1, 297.7, 297.9
01:30.1, 298.7, 298.4
01:32.1, 300.9, 302.4
01:34.1, 304.2, 306.1
01:36.1, 306.7, 308.8
01:38.1, 310.1, 312.4
01:40.1, 314.4, 314.6
01:42.1, 316.3, 319.6
01:44.1, 320.7, 321.4
01:46.1, 322.0, 321.8
01:48.1, 322.0, 324.5
01:50.1, 326.5, 329.0
01:52.1, 326.9, 328.1
01:54.1, 329.9, 330.8
01:56.1, 332.7, 333.1
01:58.1, 334.0, 334.4
02:00.1, 336.9, 339.4
02:02.1, 337.7, 338.4
02:04.1, 340.1, 339.4
02:06.1, 341.8, 344.3
02:08.1, 345.6, 346.6
02:10.1, 346.6, 346.6
02:12.1, 348.4, 348.4
02:14.1, 346.7, 346.6
02:16.1, 349.4, 350.6
02:18.1, 351.4, 352.9
02:20.1, 352.5, 351.9
02:22.1, 352.9, 356.0
02:24.1, 354.2, 353.8
02:26.1, 357.4, 360.5
02:28.1, 358.2, 359.1
02:30.1, 356.4, 355.1
02:32.1, 356.4, 358.2
02:34.1, 352.8, 352.4
02:36.1, 353.2, 354.2
02:38.1, 354.8, 357.8
02:40.1, 355.2, 353.8
02:42.1, 354.0, 353.8
02:44.1, 355.2, 356.9
02:46.1, 357.4, 360.9
02:48.1, 360.0, 360.9
02:50.1, 361.9, 361.9
02:52.1, 363.1, 364.1
02:54.1, 365.1, 366.8
02:56.1, 367.3, 368.1
02:58.1, 368.8, 367.7
03:00.1, 370.4, 370.9
03:02.1, 374.0, 374.9
03:04.1, 375.7, 377.1
03:06.1, 376.6, 376.2
03:08.1, 376.9, 377.1
03:10.1, 378.2, 377.1
03:12.1, 378.1, 379.9
03:14.1, 379.2, 379.9
03:16.1, 382.1, 381.6
03:18.1, 383.2, 383.9
03:20.1, 384.5, 385.2
03:22.1, 386.0, 386.1
03:24.1, 384.5, 382.6
03:26.1, 381.4, 382.1
03:28.1, 382.2, 383.9
03:30.1, 385.2, 387.1
03:32.1, 385.3, 385.7
03:34.1, 386.3, 385.7
03:36.1, 386.7, 387.9
03:38.1, 388.9, 389.3
03:40.1, 391.9, 392.4
03:42.1, 392.7, 393.4
03:44.1, 393.8, 392.9
03:46.1, 394.3, 393.8
03:48.1, 395.7, 394.2
03:50.1, 395.9, 398.3
03:52.1, 398.7, 397.9
03:54.1, 398.9, 400.6
03:56.1, 399.6, 397.9
03:58.1, 399.6, 400.1
04:00.1, 399.1, 399.6
04:02.1, 403.3, 405.9
04:04.1, 404.0, 401.4
04:06.1, 403.5, 401.9
04:08.1, 403.8, 402.8
04:10.1, 405.6, 402.4
04:12.1, 403.8, 402.8
04:14.1, 402.7, 401.0
04:16.1, 403.2, 405.5
04:18.1, 404.0, 402.4
04:20.1, 403.4, 404.6
04:22.1, 405.0, 407.3
04:24.1, 407.7, 407.3
04:26.1, 410.1, 411.4
04:28.1, 411.9, 410.9
04:30.1, 412.1, 413.1
04:32.1, 412.5, 413.6
04:34.1, 413.4, 412.7
04:36.1, 414.1, 414.9
04:38.1, 414.7, 415.4
04:40.1, 413.9, 415.9
04:42.1, 416.4, 417.6
04:44.1, 417.9, 417.6
04:46.1, 419.4, 419.0
04:48.1, 419.1, 421.2
04:50.1, 420.8, 421.7
04:52.1, 422.5, 423.5
04:54.1, 422.9, 423.9
04:56.1, 423.4, 424.4
04:58.1, 425.8, 424.9
05:00.1, 425.3, 426.6
05:02.1, 424.2, 420.8
05:04.1, 422.7, 421.2
05:06.1, 422.7, 420.8
05:08.1, 423.3, 423.1
05:10.1, 424.6, 426.6
05:12.1, 424.3, 426.2
05:14.1, 425.2, 427.1
05:16.1, 426.9, 428.4
05:18.1, 427.7, 428.4
05:20.1, 427.6, 427.1
05:22.1, 428.0, 429.4
05:24.1, 428.8, 428.4
05:26.1, 429.6, 432.5
05:28.1, 431.2, 428.0
05:30.1, 431.5, 432.9
05:32.1, 432.6, 438.8
05:34.1, 436.0, 435.2
05:36.1, 436.2, 437.9
05:38.1, 438.4, 440.1
05:40.1, 439.7, 441.5
05:42.1, 438.0, 438.4
05:44.1, 435.6, 437.4
05:46.1, 436.9, 438.8
05:48.1, 436.2, 436.6
05:50.1, 435.8, 436.6
05:52.1, 438.8, 441.9
05:54.1, 440.5, 442.4
05:56.1, 442.7, 446.0
05:58.1, 446.4, 448.7
06:00.1, 447.2, 446.4
06:02.1, 445.2, 444.6
06:04.1, 447.1, 448.7
06:06.1, 448.6, 447.8
06:08.1, 450.2, 450.5
06:10.1, 450.6, 449.1
06:12.1, 450.4, 449.6
06:14.1, 451.5, 450.9
06:16.1, 452.4, 452.8
06:18.1, 453.7, 454.1
06:20.1, 453.2, 453.2
