Sumtra Buah Buahan
Run #29,T_amb=72.6
elapsed, t_avg(15), t_bean
00:00.1, 68.2, 71.2
00:02.1, 72.1, 73.0
00:04.1, 79.0, 82.0
00:06.1, 86.4, 91.0
00:08.1, 96.3, 99.0
00:10.1, 106.4, 113.0
00:12.1, 116.7, 118.8
00:14.1, 122.6, 127.8
00:16.1, 129.3, 130.6
00:18.1, 142.5, 149.9
00:20.1, 154.1, 156.7
00:22.1, 158.3, 161.6
00:24.1, 170.7, 189.5
00:26.1, 184.1, 179.6
00:28.1, 184.3, 189.9
00:30.1, 194.2, 197.6
00:32.1, 203.2, 207.9
00:34.1, 212.4, 219.2
00:36.1, 228.2, 233.6
00:38.1, 238.4, 235.8
00:40.1, 232.7, 230.9
00:42.1, 237.4, 246.2
00:44.1, 250.5, 252.9
00:46.1, 252.1, 252.9
00:48.1, 255.9, 259.2
00:50.1, 255.3, 257.4
00:52.1, 263.1, 264.6
00:54.1, 269.3, 274.6
00:56.1, 268.7, 266.4
00:58.1, 267.4, 270.1
01:00.1, 273.3, 274.1
01:02.1, 273.9, 271.9
01:04.1, 271.9, 272.8
01:06.1, 273.1, 274.1
01:08.1, 273.2, 272.8
01:10.1, 273.5, 273.2
01:12.1, 273.0, 275.4
01:14.1, 279.0, 283.6
01:16.1, 284.1, 285.4
01:18.1, 284.0, 287.1
01:20.1, 290.6, 293.0
01:22.1, 297.0, 298.9
01:24.1, 300.3, 301.6
01:26.1, 304.3, 304.2
01:28.1, 308.9, 316.4
01:30.1, 311.9, 313.7
01:32.1, 315.3, 314.1
01:34.1, 319.0, 319.6
01:36.1, 321.7, 324.9
01:38.1, 328.0, 328.6
01:40.1, 329.8, 331.7
01:42.1, 328.5, 330.8
01:44.1, 331.1, 335.8
01:46.1, 332.0, 333.1
01:48.1, 341.3, 339.8
01:50.1, 341.9, 343.9
01:52.1, 347.2, 356.0
01:54.1, 352.7, 348.8
01:56.1, 343.4, 337.6
01:58.1, 331.3, 331.2
02:00.1, 330.7, 328.1
02:02.1, 320.8, 317.8
02:04.1, 323.4, 330.4
02:06.1, 331.3, 332.1
02:08.1, 326.5, 325.4
02:10.1, 327.1, 325.4
02:12.1, 324.3, 322.7
02:14.1, 323.0, 323.1
02:16.1, 326.5, 327.6
02:18.1, 329.1, 329.4
02:20.1, 331.4, 333.1
02:22.1, 334.5, 342.1
02:24.1, 339.1, 335.3
02:26.1, 339.4, 339.4
02:28.1, 340.2, 341.6
02:30.1, 348.0, 349.2
02:32.1, 352.5, 353.8
02:34.1, 354.6, 357.4
02:36.1, 348.5, 342.9
02:38.1, 341.9, 339.8
02:40.1, 320.0, 312.4
02:42.1, 306.6, 302.4
02:44.1, 299.0, 295.7
02:46.1, 291.7, 290.3
02:48.1, 284.9, 276.8
02:50.1, 265.8, 260.1
02:52.1, 252.4, 242.2
02:54.1, 234.6, 252.9
02:56.1, 298.9, 328.6
02:58.1, 353.3, 364.1
03:00.1, 369.9, 369.9
03:02.1, 368.5, 367.2
03:04.1, 370.2, 369.1
03:06.1, 370.6, 370.4
03:08.1, 371.7, 370.9
03:10.1, 372.8, 373.1
03:12.1, 373.2, 374.0
03:14.1, 374.5, 374.9
03:16.1, 375.8, 370.9
03:18.1, 371.4, 367.7
03:20.1, 376.6, 384.4
03:22.1, 381.5, 380.8
03:24.1, 383.7, 384.4
03:26.1, 385.2, 386.1
03:28.1, 387.0, 387.9
03:30.1, 388.9, 389.3
03:32.1, 389.9, 393.8
03:34.1, 386.0, 376.7
03:36.1, 367.0, 361.9
03:38.1, 352.9, 353.8
03:40.1, 355.1, 351.1
03:42.1, 338.2, 330.4
03:44.1, 324.8, 320.0
03:46.1, 322.9, 327.2
03:48.1, 328.3, 321.8
03:50.1, 314.4, 309.2
03:52.1, 305.4, 302.9
03:54.1, 302.1, 302.4
03:56.1, 307.7, 356.4
03:58.1, 366.3, 374.0
04:00.1, 380.2, 383.0
04:02.1, 386.3, 390.6
04:04.1, 394.2, 394.2
04:06.1, 397.0, 397.9
04:08.1, 400.0, 400.1
04:10.1, 399.5, 400.1
04:12.1, 401.1, 402.8
04:14.1, 403.6, 402.8
04:16.1, 403.6, 403.2
04:18.1, 402.0, 403.2
04:20.1, 404.6, 406.9
04:22.1, 407.2, 408.6
04:24.1, 407.2, 407.3
04:26.1, 407.8, 409.1
04:28.1, 409.1, 410.9
04:30.1, 409.5, 410.4
04:32.1, 408.5, 410.4
04:34.1, 409.8, 411.4
04:36.1, 410.7, 411.4
04:38.1, 412.7, 413.1
04:40.1, 414.1, 413.6
04:42.1, 413.4, 415.9
04:44.1, 415.2, 417.6
04:46.1, 417.7, 417.6
04:48.1, 418.5, 418.1
04:50.1, 417.9, 418.1
04:52.1, 418.0, 419.0
04:54.1, 419.4, 419.0
04:56.1, 420.9, 421.2
04:58.1, 421.4, 420.8
05:00.1, 422.8, 424.9
05:02.1, 423.6, 424.9
05:04.1, 425.1, 424.9
05:06.1, 424.9, 420.8
05:08.1, 423.5, 424.4
05:10.1, 423.8, 422.6
05:12.1, 424.2, 422.1
05:14.1, 425.7, 426.2
05:16.1, 425.5, 424.9
05:18.1, 425.9, 426.2
05:20.1, 427.3, 427.6
05:22.1, 427.3, 428.4
05:24.1, 429.6, 432.1
05:26.1, 431.7, 431.6
05:28.1, 433.0, 433.9
05:30.1, 436.5, 434.3
05:32.1, 435.7, 437.9
05:34.1, 434.5, 434.3
05:36.1, 437.1, 438.8
05:38.1, 437.9, 434.8
05:40.1, 436.7, 434.8
05:42.1, 436.9, 439.2
05:44.1, 437.6, 437.0
05:46.1, 439.0, 440.1
05:48.1, 439.4, 444.2
05:50.1, 442.8, 442.9
05:52.1, 442.1, 442.9
05:54.1, 442.9, 442.9
05:56.1, 445.3, 442.4
05:58.1, 445.4, 448.2
06:00.1, 444.3, 446.4
06:02.1, 446.8, 446.0
06:04.1, 446.2, 447.4
06:06.1, 448.7, 448.2
06:08.1, 447.0, 450.1
06:10.1, 448.4, 450.1
06:12.1, 451.0, 451.4
06:14.1, 451.0, 455.9
06:16.1, 451.7, 451.4
06:18.1, 451.1, 450.5
06:20.1, 455.1, 457.7
06:22.1, 454.7, 456.8
06:24.1, 455.4, 453.6
06:26.1, 456.0, 456.4
06:28.1, 455.8, 457.7
06:30.1, 458.0, 458.6
06:32.1, 458.6, 455.0
06:34.1, 460.0, 457.7
06:36.1, 457.8, 455.0
06:38.1, 458.7, 459.9
06:40.1, 459.5, 462.6
06:42.1, 460.6, 461.8
06:44.1, 462.2, 461.8
06:46.1, 461.6, 461.8
06:48.1, 459.1, 458.6
06:50.1, 455.7, 459.5
06:52.1, 456.3, 454.1
06:54.1, 453.6, 455.9
06:56.1, 456.9, 457.2
06:58.1, 458.8, 458.6
07:00.1, 459.1, 458.6
07:02.1, 461.5, 463.6
07:04.1, 464.6, 464.0
07:06.1, 463.9, 465.4
07:08.1, 467.2, 467.6
07:10.1, 467.8, 467.1
07:12.1, 466.8, 469.4
07:14.1, 466.6, 468.1
07:16.1, 467.5, 466.2
07:18.1, 469.1, 470.8
07:20.1, 471.8, 470.3
07:22.1, 468.5, 465.8
07:24.1, 469.4, 472.1
07:26.1, 470.1, 473.0
07:28.1, 471.0, 471.2
07:30.1, 470.2, 470.3
07:32.1, 472.1, 472.1
07:34.1, 471.6, 472.1
07:36.1, 471.2, 472.6
07:38.1, 471.3, 469.4
07:40.1, 472.8, 473.0
07:42.1, 471.9, 470.3
07:44.1, 473.8, 475.7
07:46.1, 473.6, 473.4
07:48.1, 472.5, 473.4
07:50.1, 474.4, 474.8
07:52.1, 476.1, 476.1
07:54.1, 459.9, 442.9
07:56.1, 425.7, 419.4
07:58.1, 371.9, 324.1
08:00.1, 313.5, 306.1
08:02.1, 293.6, 284.4
08:04.1, 272.0, 260.6
08:06.1, 244.3, 228.7
08:08.1, 217.1, 204.8
08:10.1, 198.8, 199.8
08:12.1, 197.7, 192.7
08:14.1, 180.1, 174.7
08:16.1, 172.1, 170.2
08:18.1, 164.4, 160.2
